longitude;latitude;ocorrencia
-52.3;-6.43;1
-52.35;-6.29;1
-51.56;-5.86;1
-50.53;-5.8;1
-50.53;-5.79;1
-50.54;-5.79;1
-50.4;-5.89;1
-50.42;-5.86;1
-50.4;-5.87;1
-51.94;-6.53;1
-51.52;-5.94;1
-52.1;-6.33;1
-51.81;-6.16;1
-52.05;-6.29;1
-51.12;-6.84;1
-51.23;-5.7;1
-51.43;-6.01;1
-50.37;-5.87;1
-50.37;-5.86;1
-49.72;-6.07;1
-50.13;-5.89;1
-50.03;-5.9;1
-50.4;-5.85;1
-50.35;-5.85;1
-51.45;-5.93;1
-51.55;-5.9;1
-50.32;-6.15;1
-50.45;-5.85;1
-50.41;-5.82;1
-51.23;-5.88;1
-51.05;-5.9;1
-51.53;-5.91;1
-51.52;-5.86;1
-51.49;-5.87;1
-51.55;-5.85;1
-51.09;-5.92;1
-51.19;-5.95;1
-51.17;-5.95;1
-51.16;-5.96;1
-51.19;-5.93;1
-51.2;-5.96;1
-50.39;-5.92;1
